Count,Filename_0,Time,Dev2/ai0,Dev2/ai1,Channel 0,Channel 1
1500,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0000_0.tif,0.05,-0.00481831,-0.0273714,-0.00481831,-0.0273714
1501,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0001_0.tif,0.0500333,0.000981064,-0.0254383,0.000981064,-0.0254383
1502,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0002_0.tif,0.0500667,0.00033669,-0.028338,0.00033669,-0.028338
1503,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0003_0.tif,0.0501,0.000981064,-0.0241495,0.000981064,-0.0241495
1504,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0004_0.tif,0.0501333,0.00162544,-0.0289823,0.00162544,-0.0289823
1505,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0005_0.tif,0.0501667,0.000658877,-0.0254383,0.000658877,-0.0254383
1506,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0006_0.tif,0.0502,-0.000629872,-0.028338,-0.000629872,-0.028338
1507,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0007_0.tif,0.0502333,-0.00191862,-0.0270492,-0.00191862,-0.0270492
1508,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0008_0.tif,0.0502667,0.00162544,-0.0244717,0.00162544,-0.0244717
1509,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0009_0.tif,0.0503,1.45028e-05,-0.0273714,1.45028e-05,-0.0273714
1510,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0010_0.tif,0.0503333,0.000981064,-0.0276936,0.000981064,-0.0276936
1511,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0011_0.tif,0.0503667,0.000658877,-0.0238274,0.000658877,-0.0238274
1512,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0012_0.tif,0.0504,-0.000629872,-0.0309155,-0.000629872,-0.0309155
1513,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0013_0.tif,0.0504333,0.000658877,-0.026727,0.000658877,-0.026727
1514,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0014_0.tif,0.0504667,1.45028e-05,-0.0293045,1.45028e-05,-0.0293045
1515,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0015_0.tif,0.0505,-0.00288518,-0.026727,-0.00288518,-0.026727
1516,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0016_0.tif,0.0505333,-0.000307684,-0.026727,-0.000307684,-0.026727
1517,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0017_0.tif,0.0505667,0.00033669,-0.0254383,0.00033669,-0.0254383
1518,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0018_0.tif,0.0506,0.000981064,-0.0260827,0.000981064,-0.0260827
1519,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0019_0.tif,0.0506333,0.000981064,-0.0251161,0.000981064,-0.0251161
1520,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0020_0.tif,0.0506667,0.00162544,-0.0273714,0.00162544,-0.0273714
1521,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0021_0.tif,0.0507,-0.00256299,-0.0241495,-0.00256299,-0.0241495
1522,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0022_0.tif,0.0507333,0.00162544,-0.0270492,0.00162544,-0.0270492
1523,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0023_0.tif,0.0507667,0.00033669,-0.0202833,0.00033669,-0.0202833
1524,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0024_0.tif,0.0508,0.00226981,-0.0206055,0.00226981,-0.0206055
1525,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0025_0.tif,0.0508333,-0.000629872,-0.0202833,-0.000629872,-0.0202833
1526,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0026_0.tif,0.0508667,0.00130325,-0.0186724,0.00130325,-0.0186724
1527,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0027_0.tif,0.0509,-0.000952059,-0.0186724,-0.000952059,-0.0186724
1528,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0028_0.tif,0.0509333,-0.00224081,-0.0173836,-0.00224081,-0.0173836
1529,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0029_0.tif,0.0509667,0.000658877,-0.0186724,0.000658877,-0.0186724
1530,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0030_0.tif,0.051,-0.000307684,-0.012873,-0.000307684,-0.012873
1531,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0031_0.tif,0.0510333,-0.00191862,-0.0125508,-0.00191862,-0.0125508
1532,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0032_0.tif,0.0510667,0.000981064,-0.0138395,0.000981064,-0.0138395
1533,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0033_0.tif,0.0511,0.000658877,-0.0115842,0.000658877,-0.0115842
1534,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0034_0.tif,0.0511333,0.00033669,-0.0135174,0.00033669,-0.0135174
1535,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0035_0.tif,0.0511667,-0.00224081,-0.0115842,-0.00224081,-0.0115842
1536,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0036_0.tif,0.0512,-0.00159643,-0.0102955,-0.00159643,-0.0102955
1537,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0037_0.tif,0.0512333,-0.00320737,-0.011262,-0.00320737,-0.011262
1538,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0038_0.tif,0.0512667,-0.000629872,-0.0119064,-0.000629872,-0.0119064
1539,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0039_0.tif,0.0513,-0.00256299,-0.00900674,-0.00256299,-0.00900674
1540,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0040_0.tif,0.0513333,-0.00224081,-0.00642924,-0.00224081,-0.00642924
1541,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0041_0.tif,0.0513667,1.45028e-05,-0.0109399,1.45028e-05,-0.0109399
1542,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0042_0.tif,0.0514,-0.00320737,-0.0099733,-0.00320737,-0.0099733
1543,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0043_0.tif,0.0514333,0.000658877,-0.00771799,0.000658877,-0.00771799
1544,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0044_0.tif,0.0514667,1.45028e-05,-0.011262,1.45028e-05,-0.011262
1545,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0045_0.tif,0.0515,-0.00191862,-0.00965111,-0.00191862,-0.00965111
1546,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0046_0.tif,0.0515333,-0.000952059,-0.00707362,-0.000952059,-0.00707362
1547,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0047_0.tif,0.0515667,-0.00127425,-0.00578487,-0.00127425,-0.00578487
1548,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0048_0.tif,0.0516,1.45028e-05,-0.00900674,1.45028e-05,-0.00900674
1549,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0049_0.tif,0.0516333,-0.000629872,-0.0115842,-0.000629872,-0.0115842
1550,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0050_0.tif,0.0516667,0.002592,-0.0102955,0.002592,-0.0102955
1551,D:/2019---zhaoyang/gebo/2_/100/1\1mps-1-0051_0.tif,0.0517,-0.00256299,-0.0099733,-0.00256299,-0.0099733
