"File Number","u","v","x_c","y_c","u_c","v_c","exx","eyy","exy","e1","e2","gamma","e_vonmises"
0,0,0,-10.4875862401,5.07326325018,0,0,0,0,0,0,0,0,0
1,-0.00616317796185,-0.0279161438745,-10.4875862401,5.07326325018,-0.000262754599073,0.00119013405896,3.94440288786e-05,-1.21483585083e-05,-1.00334430852e-05,0.000354415670055,-0.000327119999314,-0.0269840789693,0.000662363711798
2,0.0305472335864,-0.0105106452799,-10.4875862401,5.07326325018,0.001302312322,0.000448096405081,3.15465485521e-05,9.52469520829e-06,-2.10679560346e-05,0.0003538326918,-0.000312761447981,-0.0597958833396,0.000640959596914
3,0.0381116484268,0.000737778679375,-10.4875862401,5.07326325018,0.00162479809631,-3.14487543923e-05,2.48766486859e-05,-1.18476997948e-05,1.01921821153e-05,0.000338100519359,-0.000325071570201,0.00268579005216,0.000642716726362
4,0.0494944941027,0.0138876541118,-10.4875862401,5.07326325018,0.00211006509191,-0.000592064544374,1.77700795768e-05,-2.83802197896e-05,-7.84368156344e-06,0.000299418412636,-0.0003100285531,-0.0224445426645,0.000585702408045
5,0.0573922546108,0.0165294425742,-10.4875862401,5.07326325018,0.00244676977274,-0.000704686749054,1.92999141317e-05,-1.73116018373e-05,1.24129406393e-05,0.00034650231094,-0.000344513998707,-0.0135189555161,0.000661859897804
6,0.0998642331781,0.0192274317645,-10.4875862401,5.07326325018,0.00425745549433,-0.000819710673457,2.95558646841e-05,-3.99998315013e-05,-5.88792566781e-06,0.0003232755599,-0.000333719526755,-0.00541287219195,0.00063672027727
7,0.143000872167,0.0230176036948,-10.4875862401,5.07326325018,0.00609647956911,-0.000981287723398,3.89023251967e-05,-5.50826630983e-06,4.31963159398e-06,0.000363810905321,-0.000330416846551,0.0457530733923,0.000677104422473
8,0.18131823599,0.0108894422704,-10.4875862401,5.07326325018,0.00773005307932,-0.00046424230706,3.45602019126e-05,-9.72610467712e-06,8.73081368412e-06,0.000343147589922,-0.000318313492572,-0.0163698044533,0.000636196923408
9,0.233043082792,0.012376323381,-10.4875862401,5.07326325018,0.00993520288011,-0.000527627694395,2.90486220211e-05,-2.17398375592e-05,7.28161189059e-06,0.0003483423099,-0.000341033525343,0.0311023343131,0.00066383931108
10,0.286687962736,0.00413151953071,-10.4875862401,5.07326325018,0.0122222154349,-0.000176137347061,3.60137937774e-05,5.82014188672e-06,2.25099564459e-05,0.000340276759291,-0.000298442823773,0.0160984856871,0.000619957440183
11,0.336427466681,-0.00109649831339,-10.4875862401,5.07326325018,0.0143427311191,4.67411367799e-05,2.16246945807e-05,1.36495865295e-05,2.33327805342e-05,0.000310612769707,-0.000275338488506,0.0799994898461,0.000565925831983
12,0.396954757997,-0.00447282775895,-10.4875862401,5.07326325018,0.0169231633191,0.000190685204447,3.76631531786e-05,-4.33810086875e-06,-1.05746878456e-05,0.000323245573365,-0.0002899205212,-0.0234313857234,0.00058531122448
13,0.485584650881,0.0217391800451,-10.4875862401,5.07326325018,0.020701670606,-0.000926793325462,4.14419253352e-05,2.44307483232e-05,9.23825341995e-06,0.000361186437242,-0.000295313763968,0.0387752487284,0.0006354549701
14,0.558272165415,0.0274768294133,-10.4875862401,5.07326325018,0.0238005188423,-0.00117141068618,3.86689207124e-05,-8.00650459127e-07,1.98129578382e-05,0.000331654191725,-0.000293785921588,0.049459409181,0.000605766377062
15,0.673822485111,0.0442127880621,-10.4875862401,5.07326325018,0.0287267088361,-0.00188490001207,3.37466478683e-05,-2.17301356711e-05,-6.20611313921e-06,0.000326141497491,-0.000314124985379,0.0152908325044,0.000621434101066
16,0.754285505372,0.0631529371855,-10.4875862401,5.07326325018,0.0321570462797,-0.00269237103326,3.71449402946e-05,-1.65704789268e-05,2.39316876979e-06,0.000328139377953,-0.000307564916639,0.0222857756118,0.000618097820316
17,0.821791557172,0.0730316938515,-10.4875862401,5.07326325018,0.0350349892277,-0.00311352037631,4.01378565406e-05,-1.98550085019e-05,2.77052363502e-05,0.00034234938555,-0.000322066537373,0.06484630799,0.000640412569043
18,0.934135800441,0.0701428171558,-10.4875862401,5.07326325018,0.0398245113111,-0.00299036761568,5.46312360175e-06,-4.24062661282e-05,2.39204107507e-05,0.000323118642987,-0.000360061785442,0.104777634714,0.000659850894638
19,1.00102544511,0.102626316396,-10.4875862401,5.07326325018,0.0426761839861,-0.00437521635411,4.93900662301e-05,1.75150213236e-05,2.06747940368e-06,0.0003575426032,-0.000290637515762,0.0709900838751,0.000626042726782
20,1.09921044712,0.111614917586,-10.4875862401,5.07326325018,0.0468620511741,-0.00475841800775,2.3303816175e-05,-3.44273721656e-05,6.64507042622e-06,0.000363282951953,-0.000374406508162,-0.0483896595156,0.000708676517379
21,1.21254304804,0.136811994802,-10.4875862401,5.07326325018,0.0516937084348,-0.00583262961313,3.09157738507e-05,-3.09277704088e-05,1.67819610879e-06,0.00034936331679,-0.000349375313351,0.0213420890599,0.000674014881569
22,1.33605685406,0.189272179871,-10.4875862401,5.07326325018,0.0569593926614,-0.00806914301475,1.37656924595e-05,-3.26585716473e-05,2.12002641119e-05,0.000324313804632,-0.000343206684137,0.0615699127197,0.000637445784049
23,1.41005094016,0.255766340278,-10.4875862401,5.07326325018,0.0601139436705,-0.0109039536756,2.7269663663e-05,-4.94845172097e-05,-6.49889960791e-06,0.000317604871861,-0.000339819725556,-0.000404358485908,0.00063844865311
24,1.54858571977,0.365869293297,-10.4875862401,5.07326325018,0.0660200254173,-0.0155979139782,1.4708675728e-05,-2.36025428344e-05,1.23401194535e-06,0.000335470121602,-0.000344363988753,-0.0287059893282,0.000652975395406
25,1.6776124586,0.469394874865,-10.4875862401,5.07326325018,0.071520744738,-0.0200114629907,2.46054358914e-05,-4.55686768868e-05,1.72688580557e-05,0.000303195453539,-0.000324158694628,0.0719928620296,0.000605138728924
26,1.78008019942,0.573219524005,-10.4875862401,5.07326325018,0.0758892083979,-0.0244377660223,-9.08272973263e-06,-6.20430262035e-05,8.0249809517e-06,0.00027728172923,-0.000348407485096,0.0255257755419,0.000602440928346
27,1.97492140627,0.703906200744,-10.4875862401,5.07326325018,0.0841957734738,-0.0300092524112,-8.39641756719e-07,-0.000137111170421,1.43030054556e-05,0.000285791745466,-0.000423742557567,-0.0208145724179,0.000685502958651
28,2.12920533269,0.763401153143,-10.4875862401,5.07326325018,0.090773270908,-0.0325456644259,-1.9412031777e-05,-5.53027160733e-05,3.06398228713e-06,0.000310323568715,-0.000385038316465,-0.01825308132,0.000669693341241
29,2.32705120106,0.821118435191,-10.4875862401,5.07326325018,0.0992079374151,-0.0350062939055,-2.13723689949e-05,-6.55300818719e-05,2.48328073359e-05,0.000277653719015,-0.000364556170126,0.0599286939638,0.000618114702166
30,2.50893031505,0.828602938169,-10.4875862401,5.07326325018,0.106961876214,-0.0353253771031,4.23855338827e-06,-8.7702883163e-05,1.14856596645e-05,0.000275118313311,-0.000358582643269,0.0160357418248,0.000612215065753
31,2.71875222787,0.872306949893,-10.4875862401,5.07326325018,0.115907104611,-0.0371885973855,4.69683616181e-06,-7.30173209989e-05,-1.2443616064e-05,0.00029968584347,-0.000368006328297,-0.00890498138796,0.00064162440627
32,2.94033579179,0.828601007691,-10.4875862401,5.07326325018,0.125353764542,-0.0353252979907,3.48795280423e-06,-0.000123141358776,-2.65076586401e-06,0.000269535604268,-0.000389189010278,-0.0342610918823,0.000634296938475
33,3.18007075597,0.837540477693,-10.4875862401,5.07326325018,0.135574258846,-0.0357064101531,-2.88191687321e-06,-5.28970448837e-05,-1.94340440597e-05,0.000312652359559,-0.000368431321247,-0.0111262435472,0.000653408607034
34,3.4297610645,0.875498246205,-10.4875862401,5.07326325018,0.14621916186,-0.0373246407177,-1.36289043565e-05,-0.000138402374174,1.9619151942e-05,0.000276022514353,-0.000428053792633,0.052000280128,0.000680577972374
35,3.66400160477,0.900266938417,-10.4875862401,5.07326325018,0.156205412791,-0.0383805992976,-1.73867567333e-05,-0.00013081340749,3.98907900498e-06,0.000269230345993,-0.000417430510603,0.060248121186,0.000673392150442
36,3.932093184,0.933498747604,-10.4875862401,5.07326325018,0.167634806722,-0.039797345291,-1.80519168672e-05,-0.000117256798706,-1.54430609616e-05,0.000269745974988,-0.000405054690688,-0.0135277420745,0.000655792031526
37,4.12462724919,1.09292024844,-10.4875862401,5.07326325018,0.175843037387,-0.0465938828146,-2.90616474643e-05,-2.78792252747e-05,-1.25529930935e-05,0.000308896500443,-0.00036583737314,-0.0283885325375,0.000650341896755
38,4.31673380787,1.27643782767,-10.4875862401,5.07326325018,0.184033003541,-0.0544176992697,-3.01666177459e-05,-6.42955268402e-05,1.34117917228e-06,0.000298851562161,-0.0003933137064,0.000344135648605,0.000664235098695
39,4.5034697158,1.46614188798,-10.4875862401,5.07326325018,0.191994013871,-0.0625052449497,-2.1691823798e-05,-0.000142061993882,-5.87947483184e-07,0.000251574473085,-0.00041532829091,-0.0186261565168,0.000642049645421
40,4.68558416557,1.64636560517,-10.4875862401,5.07326325018,0.199757997231,-0.0701886191277,-1.82981673173e-05,-9.32724459234e-05,2.46240951061e-06,0.000283364997357,-0.000394935610725,-0.0376726096468,0.000650653188078
41,4.84943136341,1.70706582827,-10.4875862401,5.07326325018,0.206743204837,-0.0727764165302,-1.20520981198e-05,-0.000164591029852,-5.67498082797e-06,0.000250327935577,-0.000426971063485,0.0230148306648,0.000663365847957
42,5.00442116231,1.73779005831,-10.4875862401,5.07326325018,0.21335081245,-0.0740862682268,9.43346104754e-07,-0.000107311882528,-7.99799689878e-06,0.000306181180864,-0.000412549716902,-0.0269863376766,0.000696780701058
