????+????,
??????,????????/GPa
1,0
1.005,6.11E-05
1.01,9.55E-05
1.015,1.31E-04
1.02,1.66E-04
1.025,1.95E-04
1.03,2.21E-04
1.035,2.53E-04
1.04,2.78E-04
1.045,3.05E-04
1.05,3.29E-04
1.055,3.53E-04
1.06,3.76E-04
1.065,3.99E-04
1.07,4.23E-04
1.075,4.42E-04
1.08,4.67E-04
1.085,4.87E-04
1.09,5.09E-04
1.095,5.28E-04
1.1,5.48E-04
1.105,5.66E-04
1.11,5.87E-04
1.115,6.03E-04
1.12,6.20E-04
1.125,6.40E-04
1.13,6.58E-04
1.135,6.75E-04
1.14,6.89E-04
1.145,7.07E-04
1.15,7.23E-04
1.155,7.39E-04
1.16,7.55E-04
1.165,7.71E-04
1.17,7.87E-04
1.175,8.01E-04
1.18,8.19E-04
1.185,8.34E-04
1.19,8.47E-04
1.195,8.62E-04
1.2,8.76E-04
1.205,8.91E-04
1.21,9.06E-04
1.215,9.18E-04
1.22,9.34E-04
1.225,9.46E-04
1.23,9.61E-04
1.235,9.73E-04
1.24,9.87E-04
1.245,9.98E-04
1.25,0.00101
1.255,0.00102
1.26,0.00104
1.265,0.00105
1.27,0.00106
1.275,0.00108
1.28,0.00109
1.285,0.0011
1.29,0.00111
1.295,0.00112
1.3,0.00113
1.305,0.00115
1.31,0.00117
1.315,0.00119
1.32,0.00121
1.325,0.00123
1.33,0.00124
1.335,0.00126
1.34,0.00127
1.345,0.00128
1.35,0.0013
1.355,0.0013
1.36,0.0013
1.365,0.0013
1.37,0.00131
1.375,0.00132
1.38,0.00133
1.385,0.00134
1.39,0.00135
1.395,0.00136
1.4,0.00137
1.405,0.00138
1.41,0.00139
1.415,0.0014
1.42,0.00141
1.425,0.00142
1.43,0.00143
1.435,0.00143
1.44,0.00144
1.445,0.00146
1.45,0.00148
1.455,0.00149
1.46,0.0015
1.465,0.00153
1.47,0.00154
1.475,0.00155
1.48,0.00157
1.485,0.00158
1.49,0.00159
1.495,0.0016
1.5,0.00161
