????+????,
??????,????????/GPa
0.5,-0.00531
0.51,-0.00501
0.52,-0.0047
0.53,-0.00447
0.54,-0.00423
0.55,-0.00398
0.56,-0.00378
0.57,-0.00358
0.58,-0.00341
0.59,-0.00325
0.6,-0.00309
0.61,-0.00291
0.62,-0.00275
0.63,-0.00263
0.64,-0.00251
0.65,-0.00237
0.66,-0.00227
0.67,-0.00214
0.68,-0.00205
0.69,-0.00194
0.7,-0.00185
0.71,-0.00176
0.72,-0.00167
0.73,-0.00158
0.74,-0.00151
0.75,-0.00142
0.76,-0.00135
0.77,-0.00128
0.78,-0.00121
0.79,-0.00116
0.8,-0.00109
0.81,-0.00102
0.82,-9.58E-04
0.83,-9.04E-04
0.84,-8.40E-04
0.85,-7.87E-04
0.86,-7.24E-04
0.87,-6.80E-04
0.88,-6.16E-04
0.89,-5.75E-04
0.9,-5.14E-04
0.91,-4.54E-04
0.92,-4.11E-04
0.93,-3.53E-04
0.94,-2.97E-04
0.95,-2.51E-04
0.96,-1.89E-04
0.97,-1.40E-04
0.98,-1.09E-04
0.99,-7.16E-05
1,0
1.00087,3.55E-05
1.00513,3.68E-05
1.00929,4.29E-05
1.01356,4.47E-05
1.0178,4.97E-05
1.02206,5.07E-05
1.02625,5.66E-05
1.03059,6.28E-05
1.03493,6.70E-05
1.03915,6.62E-05
1.04349,6.90E-05
1.04786,7.39E-05
1.05218,7.62E-05
1.05666,8.20E-05
1.06121,8.42E-05
1.06552,8.85E-05
1.06992,9.04E-05
1.07419,9.51E-05
1.07853,9.62E-05
1.08309,1.01E-04
1.0874,1.02E-04
1.09201,1.06E-04
1.09639,1.09E-04
1.10095,1.14E-04
1.1054,1.16E-04
1.10988,1.16E-04
1.11435,1.24E-04
1.11868,1.24E-04
1.12322,1.28E-04
1.12775,1.32E-04
1.13212,1.33E-04
1.13661,1.37E-04
1.14111,1.39E-04
1.14562,1.41E-04
1.15024,1.42E-04
1.15456,1.42E-04
1.15901,1.50E-04
1.16349,1.56E-04
1.16791,1.53E-04
1.17237,1.59E-04
1.17679,1.56E-04
1.18122,1.65E-04
1.18557,1.64E-04
1.19001,1.71E-04
1.19452,1.70E-04
1.19894,1.72E-04
1.20349,1.79E-04
1.20788,1.78E-04
1.21232,1.83E-04
1.21681,1.83E-04
1.22123,1.88E-04
1.22563,1.90E-04
1.23001,1.93E-04
1.23446,1.98E-04
1.23891,2.00E-04
1.24311,2.00E-04
1.24766,2.02E-04
1.25201,2.07E-04
1.25647,2.12E-04
1.26105,2.12E-04
1.26527,2.12E-04
1.26953,2.18E-04
1.27377,2.19E-04
1.27856,2.22E-04
1.28288,2.24E-04
1.28718,2.29E-04
1.29167,2.30E-04
1.29583,2.32E-04
1.30038,2.34E-04
1.30467,2.38E-04
1.30901,2.41E-04
